Código;Cliente;Fecha;Descripción;Conductor;Acompañante;Vehículo
#2220;CREPES Y WAFFLES S.A;31/07/2026;ENERGY;WILLIAM;JEFFERSON;OBC727
#22204;CREPES Y WAFFLES S.A;02/08/2026;SIN DISPOSICIÓN DE:;WILLIAM;JULIO;OBC727
#22206;CREPES Y WAFFLES S.A;04/08/2026;SIN DISPOSICIÓN DE:;WILLIAM;JEFFERSON;OBC727
#22207;D1 SAS;05/08/2026;SIN DISPOSICIÓN DE:;JAVIER;DAVID;WNO623
#22211;D1 SAS;06/08/2026;SIN DISPOSICIÓN DE:;OSCAR;SOLO;
#22212;LABORATORIOS SIEGFRIED SAS;06/08/2026;SIN DISPOSICIÓN DE:;ALONSO;DAVID;WGY347
#22213;CREPES Y WAFFLES S.A;07/08/2026;SIN DISPOSICIÓN DE:;WILLIAM;JULIO;WGY347
#22214;CREPES Y WAFFLES S.A;08/08/2026;SIN DISPOSICIÓN DE:;JAVIER;OSCAR;OBB178
#22215;CREPES Y WAFFLES S.A;09/08/2026;SIN DISPOSICIÓN DE:;WILLIAM;JEFFERSON;
#22218;D1 SAS;11/08/2026;SIN DISPOSICIÓN DE:;JAVIER;JEFFERSON;WNO623
#22222;MECANICOS ASOCIADOS SAS;12/08/2026;SIN DISPOSICIÓN DE:;ALONSO;OSCAR;WGY347
#22225;MECANICOS ASOCIADOS SAS;13/08/2026;SIN DISPOSICIÓN DE:;JAVIER;JULIO;OBB178
#22228;D1 SAS;14/08/2026;SIN DISPOSICIÓN DE:;OSCAR;SOLO;WNO623
#22229;CREPES Y WAFFLES S.A;15/08/2026;SIN DISPOSICIÓN DE:;JAVIER;JEFFERSON;OBB178
#22230;INMEL INGENIERIA S.A.S;15/08/2026;SIN DISPOSICIÓN DE:;WILLIAM;OSCAR;WGY347
#22231;CREPES Y WAFFLES S.A;16/08/2026;SIN DISPOSICIÓN DE:;ALONSO;OSCAR;WGY347
#22238;D1 SAS;20/08/2026;SIN DISPOSICIÓN DE:;JAVIER;JULIO;WNO623
#22239;CREPES Y WAFFLES S.A;21/08/2026;SIN DISPOSICIÓN DE:;WILLIAM;JULIO;WGY347
#22240;D1 SAS;21/08/2026;SIN DISPOSICIÓN DE:;JAVIER;SOLO;WNO623
#22243;CREPES Y WAFFLES S.A;23/08/2026;SIN DISPOSICIÓN DE:;WILLIAM;JEFFERSON;WGY347
#22244;MECANICOS ASOCIADOS SAS;23/08/2026;SIN DISPOSICIÓN DE:;ALONSO;OSCAR;WGY347
#22246;CREPES Y WAFFLES S.A;25/08/2026;SIN DISPOSICIÓN DE:;WILLIAM;JEFFERSON;WGY347
#22247;D1 SAS;25/08/2026;SIN DISPOSICIÓN DE:;OSCAR;SOLO;WNO623
#22248;LACTENOVO SAS;25/08/2026;SIN DISPOSICIÓN DE:;WILLIAM;JULIO;WGY347
